books_id;authors_id
1001;1001
1002;1002
1003;1003
1004;1004
1005;1005
1006;1006
1007;1007
1008;1008
1009;1009
1010;1010
1011;1011
1012;1012
1013;1013
1014;1014
1015;1015
1016;1001
1017;1002
1018;1003
1019;1004
1020;1005
1021;1006
1022;1007
1023;1008
1024;1009
1025;1010
1026;1011
1027;1012
1028;1013
1029;1014
1030;1015
1031;1001
1032;1002
1033;1003
1034;1004
1035;1005
1036;1006
1037;1007
1038;1008
1039;1009
1040;1010
1041;1011
1042;1012
1043;1013
1044;1014
1045;1015
1046;1001
1047;1002
1048;1003
1049;1004
1050;1005
1051;1006
1052;1007
1053;1008
1054;1009
1055;1010
1056;1011
1057;1012
1058;1013
1059;1014
1060;1015
1061;1001
1062;1002
1063;1003
1064;1004
1065;1005
1066;1006
1067;1007
1068;1008
1069;1009
1070;1010
1071;1011
1072;1012
1073;1013
1074;1014
1075;1015
1076;1001
1077;1002
1078;1003
1079;1004
1080;1005
1081;1006
1082;1007
1083;1008
1084;1009
1085;1010
1086;1011
1087;1012
1088;1013
1089;1014
1090;1015
1091;1001
1092;1002
1093;1003
1094;1004
1095;1005
1096;1006
1097;1007
1098;1008
1099;1009
1100;1010
1100;1011
1100;1012
1100;1013
1100;1014
1100;1015
